reviews,sentiment
worked advertised,1
wanted white dot white bathroom black shown knew realize cord plug black wanted white cord plug,0
extremely useful simple thing like spotify audible thing like doesnt answer ask nice use,1
brought replace moved doesnt range previous non refurbished unit seldom able find wi-fi couldnt connect got tired hearing message 34trouble connectingcheck alexa app34 unplugged went troubleshooting reconnected time strong,0
wanting bought prime day absolutely love,1
cant change voice echo,1
love echo easy operate load funit advertised use mainly play favorite tune test alexas knowledge,1
youtube,0
,0
let start withdislikes want buy 7 housedo need add like hahaawesome fun useful,1
im addicted thing,1
menu cumbersome apps set,1
great sound quality work smart home device,1
great product easy use,1
awesome,1
love love far received thursday unwrapped set immediately programmed problem reoccurring thing try set rotate show time like want love low ambient look night,1
enjoy,1
im impressed sound quality playing music device bass sound like coming bigger speaker prop amazon,1
loved,1
didnt order,0
ability play amazon music outside patio gathering blue tooth connect echo plus alexa app tablet external speaker whenif party extends yard plan connect device thermostat lighting home device,1
convenient wish request music,1
convenient,1
echo plus work expected received philip hue smart bulb supposed included purchase advise,1
absolutely love l needed didnt realize remote included voice remote convenient im glad l purchase,1
like having kid house constantly repeat myselfi tell alexa clear day according history hears comeletely differentthe device cool like concept get star doesnt work intendedi find irritated use device,0
great addition alexa family great video,1
love love echo plus silly simple set alexa new bff amazon 247 support hard beat question answered time ask,1
love music turning light,1
wish bought work,1
discovering echo,1
think darn confusing part try wouldnt work dont like thought,0
havent,1
good device,1
love echo plus havent bad thing controller music need great sounding 360 speaker bought 4k fire tv open amazon prime video netflix moment included hue lighting make product better found array smart light perfect house entertainment room addition phone call mic speaker make practical busy kitchen computer alexa controll soon hey alexa mic concern mute device buy interested ease comfort,1
difficult use chromecast,0
primarily music bedroom wish speaker better fidelity,1
perfect work great problem refurbished,1
fun use good sound quality,1
alarmbed time story universal,1
4th echo device 1st echo huge potential wanted like soon found limited bit disappointing end world like use screenless echo little 2 month screen started flickering screen quick look forum understand pointless asking replacement people 2-3 device replaced start flickering shortly amazon providing answer going time apparentlylong story short moved hallway expensive bulky voice activated light switch hue light like headline suggests meh,0
like variety stuff echo offer,1
echo amazing device time intuitive time ask clear simple result installation fairly straightforward messed time simply thought step complete wasnt actually lose ground figured advice patient app let know stepmy biggest issue moment echo device home like use intercom told cant echo aware existence ask alexa answer instruction change know likely fault think designer anticipate easier find needed instruction small deal device savvy people challenge,1
work perfect save buck buy refurbished look brand new,1
currently 3 chromecast device tge fire stick superior pleased watch program netflix prime smart phone computer easy install use,1
wife enjoy ease playing music game fun entertaining look forward adding smart product home,1
love option u play music house multiple device,1
love wife hate,1
love alexa feature firestick working fine,1
returned repair repair problem requires defective itselfi sent repair got fixed site give option complain pagei echo spot work perfectly position,0
work obvious issue refurbished,1
love echo work like said dont 34smart34 home speak function good,1
love technology im older easy set use dot bedroom use use echo living room,1
terrific,1
great product,1
,1
good quality great sound quality,1
work,1
easy set use new feature skill added time,1
,1
new best friend im little time ive like alexa google home super amazing useful tool use play sleep sound sleep use amazon audible book set alarm reminder receive notification play game tell short story lol pretty fun know people complained speaker im sure im sure open concept house want blast music blast loud rent room bedroom perfect dont problem speaker love,1
little hard follow instruction great product,1
doesnt work,0
worked like brand new dot ---so satisfied,1
echoplus great extension echo dot home little disappointed alexa good information request google start home automation impressive,1
love coolest thing sliced bread,1
ive returned,0
love echo dot amaxing,1
wanted use radio intercom terrible fm reception live speech recognition software horrible wife native american language english north texas accent birth area good job understanding bought thing additionally wifi reception poor marginal buy wifi range extender office foot router problem switched difference disconnected dust collector,0
twice working,0
love love love love feel like talking computer tell,1
nice im impressed - wish,1
ease installing,1
wanted use clock bedroom font small distance apparently cant change,0
smaller anticipated mean work quality sound easily programmed easy work alexa good voice program,1
echo dot wonderful invention love alexa smart,1
live best companion,1
look work perfect glad got good deal,1
love,1
great purchase,1
didnt work smooth like,0
great product useless overall unnecessary feature smart home dont need,0
im unable connect device say built hub bought bridge connect device thinking sync device discovered echo plus looking forward feature able play music check weather etc fine,0
echo spot work work ring doorbell state website sold pair thought app ready unfortunately case ring update integrated,1
love number movie available device took little time setup learn work thing miss local channel,1
great product returning new alexa dot refurbished giving problem connection,0
love new echo spot,1
,1
arrived expected,1
blast love echo learning trick lot fun helpful,1
easy use answer questionshands free whats like perfect sign time come connected smart home item enjoy totallly keep home connected,1
great sound quality great feature great product multi room music cool,1
alarm calendar reminder,1
far worked intuitive link different device skill getting hang,1
love echo love size material speaker quality hooked light easily work additional light thermostat echo dot bedroom lot echo think traffic weather trivia etc,1
love ive listened song havent heard childhood news weather information great,1
great item added audible book make better thank,1
awesome product wanted test difference roku nice likely traveling,1
love echo plus use spotify account find phone phone call turn light importantly read story child love make happy,1
nice,1
easy setup alexa need lot training,1
dont echo definitely need,1
great learning able watch video talk face face feature,1
spoiled downstairsso got upstairs listen music etc walked treadmill,1
fast load keep rebooting middle show,0
great product,1
easy setup use ability play video huge addition alexa device family,1
great addition alexa base guest bedroom music clock infodot speaker strong base great value,1
like,1
like screen major plus,1
got great sound bass doesnt work time hot miss recognizes thing,0
got coolest thing,1
love alexa work great little child doesnt understand dont speak clearly fun,1
love alexa chance add home jumped im member doesnt know paid extra echo upstairs bedroom supposed pay having added home im afraid ask 34whats point34,1
expected,1
difficulty dont cell phoneand cant download alexa app mac book air stuck unable program echo properly opinion able tell echo need echo time ask referred alexa appon mobile device accessto intelagence dependence equipment functionevery thing today pushed phone phone accessable wish gather information,1
,1
pretty fun nice speaker responds question doesnt understand command time,1
love alexa better thing,1
bought saying love theirs need volume loud played music treadmill use tower speaker 3xs louder,1
constantly buffering point cant watch interruption purchased prime day plus reward pay end paid paid price want money stopped trying use went old streaming device know internet service issue problem device stream,0
small convenient dependable dot cutie alexa job askmy issue fidelity expected small speaker,1
ask play motown radio pandora keep asking want add salsa station motown isnt close salsa phonetically,0
great love,1
spec regular echo easier use getting separate hub smart light etc,1
kid like game showing lyric song neat,1
awesome product,1
love able control light door music,1
love learning knew thing eveyday figuring work far easy use understand laugh time,1
love compatible camera echo dot,1
ase participating echo,1
able use room add alexa room,1
youre needna na nana,1
work good ask question say doesnt know thought supposed know,1
dont think 342nd gen34 sound good 1st aux add external speaker going wouldnt dot 2nd issue isnt unique unit dont understand cant override default prevents playing blue tooth speaker playing 34group34 delay bt speaker unit heard able play group bt speaker,1
easy install operate work alexa voice command,1
performs pretty expected disappointed provide terminology need play kind music subscribing amazon music service understand music choice limited knowing ask access music provided free echo purchase chart showing language need use,1
easy setup,1
thing woke middle night saying ready setup setup simple thing check time asking wife happy,0
amazing paroduct,1
good,0
think doesnt play music answer stupid question finally able hook thermostat price dropping like rock,0
work like,1
dot work perfectly use multiple time day absolutely love,1
love feature play music room multiple echo,1
,1
love device bought simple alarm clock amazon echoand prime day price couldnt beat sonos big as fan light able control device perfect getting better time,1
easy set work wonderful love,1
musicthe shopping list sound,1
3 echo barn great idea working horse news flash music,1
play great,1
,1
echo perfect staging kitchen recipe right need print wonderful device acoustical sound powerful tall cylindercal echo covered adjacent family room,1
amazing product great sound quality,1
love echo spot use nightstand alarm clock play iheartradio radio getting dressed,1
pretty cool,1
easy setup love thing,1
love play amazon prime shortcoming potential fee,1
divertido,1
use speaker stream music weve 7 month kinda useless,1
love love love bought prime day buyer remorse got love sight,1
worked exactly expected speaker great sound perfect classroom,1
bought compare speaker quality generation speaker like sound better ship daughter like fact generation chargeable base bought keep mobile need better sound,1
echo kitchen far exceeds expectation there wealth information topic customizable sound video echo echo dot group hole house music exploring love perfect getting recipe youre preparing cook,1
second echo love help kitchen set timer listen news prepare grocery list great music,1
smart sweet design,1
loved till stoled cant afford replace going,1
love personally prefer spotify music great able set default there day go music home reason got pup calm leave tell alexa play classical music jazz work wonder he lot calmer doesnt bark lock door start walking away,1
worth cent,1
love helpful,1
alread echo dot ability control philip hue bulb nudged buy prime day fun product amazon,1
love ease use convenience echo spot offered,1
love fast respond alexaalso easy find thing looking forjust speak remote,1
work great,1
alexa amazon find today resist getting echo best thing use house couldnt happier,1
got great sound bass doesnt work time hot miss recognizes thing,0
work great dont think amazon charge cent unlimited music 1 prime 2 buy echo,1
thoroughly enjoying ecoo love read audiobook office simply open audiobook kindle continue wonderful listening music mood book great setting reminder,1
returned 2 echo dot getting refund 1 returned 2 package want refund package,0
product beautifully designed longer hide echo device away like dot nice amazon lose camera cause squirm privacy conscious,1
replacement easy set reauthorize smart item work new hub installation easy instruction clear,1
got echo spot prime day love think little expensive chance save 30 convinced buy basically use radio alarm clock old radio station come clearly like sleep sound skill hearing weather im exploring skillsjust discovered star trek sound alexa beam fun,1
love easy set,1
6 hour set galaxy s9 phone got system setup second edit light bulb adding string light simple easy,1
lot fun thing 4 yr old learns dinosaur control light play game like category nice sound playing music,1
good siri positive great playing music setting alarm personally felt paid product nearly half prime day literally day purchased im pretty disappointed return money,0
love wish built hub,1
bought wife love,1
work great like new,1
use echo dot different way home use downstairs control lighting deck stream music bluetooth speaker work great need,1
expected,1
love echo able lyric song play able recipe screen wonderful,1
good speaker bedroom office,1
purchased echo couple dot hesitated purchase price dropped glad versatility video screen outstanding regret,1
love loses connection sure issue internet issue overall use application,1
love plan gender music big band jazz easy find local radio sound good stop voice command phone,1
alexa funny enjoyable nice sound,1
command alexa requires specific find google home flexible figuring im asking,1
like,1
love awesome,1
love echo great kitchen recipe,1
alexa easy operate set 10 day love,1
pretty cool,1
totally get sense humour,1
clear screen great picture,1
getting alexa dont connected tv thing right use music information great,1
time alexa little 34thick34 good,1
echo dot responds arent talking ive unplugged feel like 34spying34,0
doesnt listen,1
exceeded expectation,1
echo doesnt come built battery plugged time use make inconvenient,1
home great time music talking happens randomly sensitive listening option change engagement command 34alexa34 34computer34 little annoying color black white good thing,1
love fact unplug basement want laundry,1
clear music,1
gave daughter birthday love sound amazing play music constantly worth penny amazon device purchased 2 echo show spot,1
setup device simple effective pleased additional skill add ability alexa great mobility issue ability shopping comfort need met depending friend family,1
helpful playing music setting alarm talking lonely,1
,1
speaker better,1
easy use non-stop music,1
like responds time easy set im learning like better speaker,1
like,1
far love easy set - anybody speaker great fun play music voice command,1
love alexa love echo dot trouble speaker intercom,1
originally got video chat family member work great found like checking thing hands-free like weather recipe far liked recommend,1
,0
learning good room volume pretty good additional speaker,1
love having kitchen convenient look recipe listen news watch prime video im cooking,1
great product,1
bought son birthday present love find jamming music room love option alarm weekday alarm set repeat get sleep non-school day,1
perfect,1
work sound great,1
niceclear great sound,1
excelente lo unico e que esta en espaol,1
sound amazing collection music,1
hard review problemi 75 got dog distracting noise homei computer literate itunes literate amazon literate countless program apparently dunce come talking alexa think heard sigh exasperationi tried create playlist song like ignored learning workarounds mediocre bestand include personal playlisti scoured beginner section beginner address far advanced basic alexa iso far like able use id like lot configure need accepting amazonalexa defaultkaren,1
amazing product,1
love thing wish gotten sooner certainly want setting lock kid great additional unexpected thing like helping kid homework load skill happy purchase especially got prime day half price,1
far impressed save group correctly understand time im sure excitement alexas voice sound like water supposed understandim going return try google home,0
love,1
enjoyed entire echo experience,1
great office use daily way include spelling background music,1
love echo bedroom wonderful music info sleeping sound,1
different apple play specific list music amazon spotify plusprimeetc account pay play music 3 star reason,1
easy use fast setup,1
havent long lot love use set timer cooking stove finicky wanting work time use check different recipe listen music time favorite telling time dinner son get real kick thati know lot people expecting show possible moment remember original echo didnt came amazon adding new stuff time soon sure want soon maybe thing havent thought ofi wish bit user friendly havent figured video chat cousin north carolina tried son dot went video chat immediately looked dot dont video screensanother thing need addressed husband tried bedroom play thunderstorm sound help sleep tried buy app instead playing skill enabled free bit worried use need fixedi happy echo,1
great device,1
love echo great sound picture great job thing entire echo collection,1
doesnt know half thing asked cant recognize sprinkler wifi controller product detail say compatible cant program change wifi thermostat setting matched wifi router handy music player thats amazon music,1
worked charmed,1
havent week connect network tried reconnecting manually echo appears list device connect way amazon,0
pleasantly surprised sound quality feature nice easily hear particular artist hear book simple command looking forward exploring option device,1
purchased refurbished work like brand new 3 minute set easy echo dot command start playing music backyard deck sound system,1
like echo plus wonderful thing dont like doesnt turn,1
excellent product set ease,1
replacement older version fire stick havent tried alexa voice remote work great,1
echo work great enjoy,1
love alexa savvy support helpful patient,1
love having bedroom kitchen great drop family house,1
este producto lleg y la semana se qued sin olor perdi toda su escencia huele solo alcohol,1
exactly advertised,1
awesome thing love alexa,1
far good,1
im finding us time keep informed news weather daily bible verse play music new skill added time future,1
dot tap love echo sound quality amazing compared dot use constantly create shopping list kitchen laundry timer news update house play music group setting,1
wasnt sure wanted extremely useful youll love,1
work great,1
loud,1
beta list alexa original alexa 4 echo actually like best,1
product attractive somewhat useful amazon chose force user view thing try trending greatly depreciates value product buy willing view billboard amazon,0
sound quality great learning different thing fun,1
im having trouble alarm time doesnt work timer doesnt end alexa keep saying unavailable,1
perfect able canary camera thats exactly wanted happy alexas great addition,1
simply love echo hardly watch tv anymore im busy listening music speaker pretty goo size fun skill echo fun family,1
love viewing choice fire stick,1
week far blast,1
learned use learning pleased echo plus,1
love,1
great product,1
tried play certain broadway show like camelot give ne group camelot,1
love bedtime reading audible kid-friendly liking kitchen im cooking small unobtrusive like better echo dot,1
purchased touch daughter family recent half way country wonderful seeing face conversation,1
excelente su funcionamiento y llama la atencin la rapidez de respuesta y el control que se logra travs de la utilizacin con alexa sorprendi gratamente muy recomendable,1
far liking probably capasity,1
enjoy able request favorite music happens complaint time,1
easy set,1
,1
love work great making home smarthome,1
week learning alexa learning process love music time listen podcasts radio station started keeping shopping list grocery list love dont search paper pencil getting time temperature great wait weather report sound good fussy woofer tweeter base etc echo fine afternoon going try dropping inon son get home going surprise,1
easy set,1
amazon doesnt disappoint,1
love group echo dot music home waiting sale hopefully spot bedroom love alarm weather sound voice,1
best father day gift dad joked mom alexa listening repeated story going forward,1
love item able hear kind music enjoyed ordered,1
alexa beginning accidentally spilled water replaced 2nd generation decided couldnt echo setup easy working minute,1
work great recommend prime wifi hdm1 tv thats u need im technologically savvy able set included screen direction,1
ting thought plus going mom right playing,1
happy 2 ordered,1
love new echo give hour music help thingsit difficult set help tekkie,1
awesome,1
amazing,1
worked like brandnew unit great addition collection,1
like product set bit difficult reset factory setting abd start scratch,1
happy,1
make accessing apps easy love voice control,1
useful,1
love thing easy setup looking forward adding smart device home,1
love small good sound,1
nope lot improved thing ask say hmmmm dont know,0
puny sound work great,1
hub music,1
amazing helped better organized give traffic update weather update help maintain good fast morning routine,1
like,1
bought echo dot sale prime day excited came day set immediately worked perfectly fine set easy straight forward appreciated terrible technology reason satisfied purchase fact cant use echo dot 15 minute disconnecting internet connected 24ghz 5ghz wifi link work frustrating getting use echo dot wish problem solution let know,1
convenient touch remote shut tv,1
pleasantly surprised sound quality echo big fan deep bass sufficient potential control home option explore evolve home smart home voice recognition impressive stylish fun regret purchase great technically change people ask play song movie responds instantly elderly loved great gift connected wifi simple use want unlimited music control sure amazon prime premium spotify blown away personal dj conversation echo embarrassed echo laugh couple time ask tell joke tell package amazon prime addict come extremely handy,1
big step dot dropped star consistent delay bringing ring pro video look great feed displayed,1
echo dot related device best thing come long time,1
love compact,1
good,1
usual reliable alexa,1
family loved,1
easy setup sound quality,1
great price great product fire stick best think work better roku,1
echo dot 2nd generation smart speaker compound size project good sound port connect external speaker greater projection sound like size awkward doesnt lot space work great alexa app think size great college student live dorm room small limited spacing,1
work great bought shop like intercom house,1
happy,1
great interface enjoy voice remote,1
speak spanishi bought grandmother talk im aroundno spanish,0
alarm music information weather,1
good sound like music scheduling like random thought recorded think joke cute,1
love,1
great,1
loud thought going,1
great music video calling kitchen timer probably bunch reason gave 4 instead 5 star ever-floating thing try home screen purely aesthetic complaint hopefully soon amazon allows option shut,1
fun,1
speaker excellent sound work perfectly,1
love,1
work decent wish able answer questionsneed better source info rest work great,1
,1
wish dot connect fire stick product worked flawlessly,1
great sound,1
love echo listen music recipe highly recommend echo,1
alexa phenomenal,1
good smart home gadget,1
love spot act new alarm,1
work better thought,1
love use daily routine,1
arrived quickly easy set refurbished amazon echo dot expected alexa buddy great assistant,1
